"","ID","CAMPAIGN","ENVIRON_COMPARTMENT","ENVIRON_COMPARTMENT_SUB","SITE_CODE","SAMPLE_DATE","SAMPLE_MATRIX","SAMPLE_SPECIES","SAMPLE_SPECIES_LIFESTAGE","SAMPLE_TISSUE","SAMPLE_REMARK","SAMPLING_METHOD","SAMPLING_DEPTH_VALUE","SAMPLING_DEPTH_UNIT","SAMPLING_REMARK","SAMPLING_PROTOCOL_ID","SUBSAMPLE","SAMPLE_ID_ORG","FRACTION","FRACTION_PROTOCOL_ID","EXTRACTION_METHOD","EXTRACTION_PROTOCOL_ID","ANALYTICAL_METHOD","ANALYTICAL_PROTOCOL_ID","DATA_TYPE","MEASURED_CATEGORY","MEASURED_TYPE","STRESSOR_NAME","CAS_RN","MEASURED_FLAG","MEASURED_VALUE","MEASURED_UNIT","LOQ_VALUE","LOQ_UNIT","LOD_VALUE","LOD_UNIT","MEASURED_REFERENCE_ID","ORGANISATION","ENTERED_BY.x","ENTERED_DATE.x","COMMENTS.x","YEAR","MONTH","SEASON","LOG_MEASURED_VALUE","SITE_NAME","SITE_GEOGRAPHIC_FEATURE","SITE_GEOGRAPHIC_FEATURE_ID","SITE_GEOGRAPHIC_FEATURE_SUB","SITE_GEOGRAPHIC_FEATURE_SUB_ID","COUNTRY","AREA","LATITUDE","LONGITUDE","COORDINATE_SYSTEM","ALTITUDE_VALUE","ALTITUDE_UNIT","ENTERED_BY.y","ENTERED_DATE.y","COMMENTS.y"
"11",59113,"Vm_ANNE","Aquatic","Freshwater","002-79024",2019-10-26,"Fresh water","Not relevant","Not relevant","Not relevant",NA,"Point",NA,"m",NA,"NS-ISO 5667-6A",1,"No information/not reported","Total",1,"Not relevant",1,"Not relevant","UKJENT","Stressor","External","Concentration","Kobber","CAS_7440-50-8",NA,1.03,NA,NA,"µg/l",NA,"µg/l",1,"BB AS","UNKNOWN","2025-02-26","LOD/LOQ Missing",2019,10,"Fall",0.0128372247051722,"Hunnselva","River, stream, canal",3,"Water column, pelagic zone",4,"NO","NR",60.7335036022902,10.6136662925866,"WGS 84","NR","NR","UNKNOWN","2025-02-26","Converted from UTM33N automatically by ConvertR"
"12",89265,"Vm_ANNE","Aquatic","Marine/Salt Water","03.40-95305",2019-10-14,"Sediment","Not relevant","Not relevant","Not relevant","Not relevant","Point",NA,"m","Not relevant","NS-EN ISO 5667-19B",1,"G3","Total",1,"Not relevant",1,"Not relevant","UKJENT","Stressor","External","Concentration","Kobber","CAS_7440-50-8",NA,50,"mg/kg dw",NA,"mg/kg t.v.",NA,"mg/kg t.v.",1,"Aqua kompetanse AS","UNKNOWN","2025-02-26","LOD/LOQ Missing",2019,10,"Fall",1.69897000433602,"C1 Lyrnesset","Coastal, fjord",6,"Water column, pelagic zone",4,"NO","NR",64.52681995645,10.7467005346005,"WGS 84","NR","NR","UNKNOWN","2025-02-26","Converted from UTM33N automatically by ConvertR"
"13",95418,"Vm_ANNE","Aquatic","Freshwater","022-98607",2022-11-09,"Fresh water","Not relevant","Not relevant","Not relevant","Not relevant","Point",0,"m","Not relevant","UKJENT",1,"434-2022-1109-080","Total",1,"Not relevant",1,"Not relevant","NS-EN ISO 17294-2:2016","Stressor","External","Concentration","Kobber","CAS_7440-50-8",NA,0.64,NA,NA,"µg/l",NA,"µg/l",1,"Eurofins Environment Testing Norway (Kr.sand)","UNKNOWN","2025-02-26","LOD/LOQ Missing",2022,11,"Fall",-0.193820026016113,"Lundeelva ved Kjelland","River, stream, canal",3,"Water column, pelagic zone",4,"NO","NR",58.0951820345104,7.76634676524053,"WGS 84","NR","NR","UNKNOWN","2025-02-26","Converted from UTM33N automatically by ConvertR"
"14",58102,"Vm_ANNE","Aquatic","Marine/Salt Water","03.21-65129",2017-01-31,"Sediment","Not relevant","Not relevant","Not relevant",NA,"Point",NA,"m",NA,"NS-EN ISO 5667-19B",1,"Stasjonsverdi","Total",1,"Not relevant",1,"Not relevant","UKJENT","Stressor","External","Concentration","Kobber","CAS_7440-50-8",NA,19,"mg/kg dw",NA,"mg/kg t.v.",NA,"mg/kg t.v.",1,"Åkerblå AS","UNKNOWN","2025-02-26","LOD/LOQ Missing",2017,1,"Winter",1.27875360095283,"Havsund, Hav 1","Coastal, fjord",6,"Water column, pelagic zone",4,"NO","NR",63.7997197865791,9.43990094569161,"WGS 84","NR","NR","UNKNOWN","2025-02-26","Converted from UTM33N automatically by ConvertR"
"15",17466,"Vm_ANNE","Aquatic","Marine/Salt Water","01.01-42161",2004-11-04,"Sediment","Not relevant","Not relevant","Not relevant",NA,"Point",7.5,"m",NA,"UKJENT",1,"No information/not reported","Total",1,"Not relevant",1,"Not relevant","UKJENT","Stressor","External","Concentration","Kobber","CAS_7440-50-8",NA,920,"mg/kg dw",NA,"mg/kg t.v.",NA,"mg/kg t.v.",1,"DNV","UNKNOWN","2025-02-26","LOD/LOQ Missing",2004,11,"Fall",2.96378782734556,"Sandefjordsfjorden - SF-9","Coastal, fjord",6,"Water column, pelagic zone",4,"NO","NR",59.1198160003688,10.2289799997981,"WGS 84","NR","NR","UNKNOWN","2025-02-26","Converted from UTM33N automatically by ConvertR"
"16",74311,"Vm_ANNE","Aquatic","Marine/Salt Water","03.61-86025",2019-02-21,"Sediment","Not relevant","Not relevant","Not relevant","Not relevant","Point",NA,"m","Not relevant","NS-EN ISO 5667-19B",1,"Stasjonsverdi","Total",1,"Not relevant",1,"Not relevant","NS-EN ISO 17294-2","Stressor","External","Concentration","Kobber","CAS_7440-50-8",NA,19,"mg/kg dw",NA,"mg/kg t.v.",NA,"mg/kg t.v.",1,"Åkerblå AS","UNKNOWN","2025-02-26","LOD/LOQ Missing",2019,2,"Winter",1.27875360095283,"HAV-1, stasjon 1","Coastal, fjord",6,"Water column, pelagic zone",4,"NO","NR",66.164880001491,12.4001499990967,"WGS 84","NR","NR","UNKNOWN","2025-02-26","Converted from UTM33N automatically by ConvertR"
"17",45910,"Vm_ANNE","Aquatic","Freshwater","006-56457",2020-11-16,"Fresh water","Not relevant","Not relevant","Not relevant","Not relevant","Point",30,"m","Not relevant","NS-ISO 5667-6A",1,"No information/not reported","Total",1,"Not relevant",1,"Not relevant","NS-EN ISO 11885","Stressor","External","Concentration","Kobber","CAS_7440-50-8",NA,0.627,NA,NA,"µg/l",NA,"µg/l",1,"Oslo kommune VAV","UNKNOWN","2025-02-26","LOD/LOQ Missing",2020,11,"Fall",-0.202732459169284,"Oset","Lake, pond, pool, reservoir",4,"Water column, pelagic zone",4,"NO","NR",59.9815656096913,10.7792240045089,"WGS 84","NR","NR","UNKNOWN","2025-02-26","Converted from UTM33N automatically by ConvertR"
"18",37265,"Vm_ANNE","Aquatic","Freshwater","155-44939",1985-03-16,"Fresh water","Not relevant","Not relevant","Not relevant",NA,"Point",20,"m",NA,"UKJENT",1,"No information/not reported","Total",1,"Not relevant",1,"Not relevant","UKJENT","Stressor","External","Concentration","Kobber","CAS_7440-50-8",NA,7,NA,NA,"µg/l",0.5,"µg/l",1,"NIVA","UNKNOWN","2025-02-26",NA,1985,3,"Spring",0.845098040014257,"Bleikvatnet, Kjoekkenbukta ved Rapliaasen (B5)","Lake, pond, pool, reservoir",4,"Water column, pelagic zone",4,"NO","NR",65.9381200007717,13.8825300006772,"WGS 84","NR","NR","UNKNOWN","2025-02-26","Converted from UTM33N automatically by ConvertR"
"19",51398,"Vm_ANNE","Aquatic","Freshwater","002-61004",2023-10-17,"Fresh water","Not relevant","Not relevant","Not relevant","Not relevant","Point",0.3,"m","Not relevant","NS-ISO 5667-6:2014-1",1,"No information/not reported","Total",1,"Not relevant",1,"Not relevant","NS-EN ISO 17294-2:2016","Stressor","External","Concentration","Kobber","CAS_7440-50-8",NA,0.28,NA,NA,"µg/l",NA,"µg/l",1,"NIBIO","UNKNOWN","2025-02-26","LOD/LOQ Missing",2023,10,"Fall",-0.552841968657781,"Vestre Aera nederst (ROe 11)","River, stream, canal",3,"Water column, pelagic zone",4,"NO","NR",61.2122452256549,11.5881477978163,"WGS 84","NR","NR","UNKNOWN","2025-02-26","Converted from UTM33N automatically by ConvertR"
"20",39072,"Vm_ANNE","Biota","Biota/Aquatic","423-48483",2020-09-27,"Biota","Gadus morhua","Not relevant","Liver","EKSTERN_EF","Point",NA,"m","EKSTERN_EF","UKJENT",1,"245659","Total",1,"Not relevant",1,"Not relevant","UKJENT","Stressor","External","Concentration","Kobber","CAS_7440-50-8",NA,2.2,"mg/kg ww",0.02,"mg/kg v.v.",NA,"mg/kg v.v.",1,"NIVA","UNKNOWN","2025-02-26",NA,2020,9,"Fall",0.342422680822206,"Svalbard","Coastal, fjord",6,"Water column, pelagic zone",4,"NO","NR",78.1700048648345,13.4608310918367,"WGS 84","NR","NR","UNKNOWN","2025-02-26","Converted from UTM33N automatically by ConvertR"
"21",93991,"Vm_ANNE","Aquatic","Freshwater","018-97904",2020-09-08,"Fresh water","Not relevant","Not relevant","Not relevant","Not relevant","Point",3.5,"m","Not relevant","NS-ISO 5667-4:2016A",1,"439-2020-09090099","Total",1,"Not relevant",1,"Not relevant","NS-EN ISO 17294-2:2016","Stressor","External","Concentration","Kobber","CAS_7440-50-8",NA,1.2,NA,NA,"µg/l",NA,"µg/l",1,"NIBIO/Eurofins Environment Testing AS","UNKNOWN","2025-02-26","LOD/LOQ Missing",2020,9,"Fall",0.0791812460476248,"Aklandstjenna, 5.6.AKL","Lake, pond, pool, reservoir",4,"Water column, pelagic zone",4,"NO","NR",58.7235727848908,9.03438111455571,"WGS 84","NR","NR","UNKNOWN","2025-02-26","Converted from UTM33N automatically by ConvertR"
"22",98320,"Vm_ANNE","Aquatic","Freshwater","007-101735",2024-09-09,"Fresh water","Not relevant","Not relevant","Not relevant","ICP-SFMS Metaller i ferskvann bassengvann drikkevann  ingen oppslutning","Point",0,"m","ICP-SFMS Metaller i ferskvann bassengvann drikkevann  ingen oppslutning","NS-ISO 5667-6A",1,"HOF S-39 filtrert","Total",1,"Not relevant",1,"Not relevant","NS-EN ISO 17294-2:2016","Stressor","External","Concentration","Kobber","CAS_7440-50-8",NA,2.86,NA,0.1,"µg/l",NA,"µg/l",1,"Multiconsult Norge AS","UNKNOWN","2025-02-26",NA,2024,9,"Fall",0.456366033129043,"Hofselva, HOF S","River, stream, canal",3,"Water column, pelagic zone",4,"NO","NR",59.9199765013934,10.6782686299393,"WGS 84","NR","NR","UNKNOWN","2025-02-26","Converted from UTM33N automatically by ConvertR"
"23",74830,"Vm_ANNE","Aquatic","Freshwater","002-86172",2023-10-17,"Fresh water","Not relevant","Not relevant","Not relevant","Løste metaller ved ICP-MS filtrering","Point",0,"m","Løste metaller ved ICP-MS filtrering","NS-ISO 5667-6A",1,"100 meter nedstrøms bekk","Total",1,"Not relevant",1,"Not relevant","NS-EN ISO 17294-2:2016","Stressor","External","Concentration","Kobber","CAS_7440-50-8",NA,4.1,NA,1,"µg/l",NA,"µg/l",1,"Deponidrift AS","UNKNOWN","2025-02-26",NA,2023,10,"Fall",0.612783856719735,"Skjoerten massedeponi, nedstroems","River, stream, canal",3,"Water column, pelagic zone",4,"NO","NR",59.5605840096683,11.1539558712003,"WGS 84","NR","NR","UNKNOWN","2025-02-26","Converted from UTM33N automatically by ConvertR"
"24",42706,"Vm_ANNE","Aquatic","Freshwater","006-51735",2010-05-18,"Fresh water","Not relevant","Not relevant","Not relevant","Vannproposjonal blandprøve 8 dager","Point",NA,"m","Vannproposjonal blandprøve 8 dager","NS-ISO 5667-6A",1,"2010-00424-008","Total",1,"Not relevant",1,"Not relevant","NS-EN ISO 11885","Stressor","External","Concentration","Kobber","CAS_7440-50-8",NA,26,NA,NA,"µg/l",NA,"µg/l",1,"Oslo Kommune VAV","UNKNOWN","2025-02-26","LOD/LOQ Missing",2010,5,"Spring",1.41497334797082,"Hovinbekken, hovedmaalestasjon","River, stream, canal",3,"Water column, pelagic zone",4,"NO","NR",59.9092324058719,10.7660204667514,"WGS 84","NR","NR","UNKNOWN","2025-02-26","Converted from UTM33N automatically by ConvertR"
"25",102579,"Vm_ANNE","Aquatic","Marine/Salt Water","04.20-103273",2021-02-03,"Sediment","Not relevant","Not relevant","Not relevant",NA,"Point",2.5,"m",NA,"NS-EN ISO 5667-19B",1,"Cu2","Total",1,"Not relevant",1,"Not relevant","UKJENT","Stressor","External","Concentration","Kobber","CAS_7440-50-8",NA,14.7,"mg/kg dw",NA,"mg/kg t.v.",NA,"mg/kg t.v.",1,"Akvaplan-niva AS","UNKNOWN","2025-02-26","LOD/LOQ Missing",2021,2,"Winter",1.16731733474818,"C2alt","Coastal, fjord",6,"Water column, pelagic zone",4,"NO","NR",70.2442700001693,22.8708199990682,"WGS 84","NR","NR","UNKNOWN","2025-02-26","Converted from UTM33N automatically by ConvertR"
"26",3331,"Vm_ANNE","Aquatic","Freshwater","022-32017",2021-05-20,"Fresh water","Not relevant","Not relevant","Not relevant","Not relevant","Point",0,"m","Not relevant","UKJENT",1,"434-2021-0521-022","Total",1,"Not relevant",1,"Not relevant","NS-EN ISO 17294-2:2016","Stressor","External","Concentration","Kobber","CAS_7440-50-8",NA,1.1,NA,NA,"µg/l",NA,"µg/l",1,"Eurofins Environment Testing Norway (Kr.sand)","UNKNOWN","2025-02-26","LOD/LOQ Missing",2021,5,"Spring",0.0413926851582251,"Soegneelva ved bru Toftelandsveien","River, stream, canal",3,"Water column, pelagic zone",4,"NO","NR",58.0991169510508,7.8242052916148,"WGS 84","NR","NR","UNKNOWN","2025-02-26","Converted from UTM33N automatically by ConvertR"
"27",34583,"Vm_ANNE","Aquatic","Freshwater","164-44892",2008-08-15,"Fresh water","Not relevant","Not relevant","Not relevant","Not relevant","Point",NA,"m","Not relevant","NS-ISO 5667-6:2014-1",1,"UF","Total",1,"Not relevant",1,"Not relevant","NS-EN ISO 17294-2","Stressor","External","Concentration","Kobber","CAS_7440-50-8",NA,20.3,NA,NA,"µg/l",NA,"µg/l",1,"NIVA","UNKNOWN","2025-02-26","LOD/LOQ Missing",2008,8,"Summer",1.30749603791321,"Langvatnet, utloep Hellarmo","River, stream, canal",3,"Water column, pelagic zone",4,"NO","NR",67.1684504795466,15.8874938929938,"WGS 84","NR","NR","UNKNOWN","2025-02-26","Converted from UTM33N automatically by ConvertR"
"28",35812,"Vm_ANNE","Aquatic","Freshwater","139-44926",1985-04-29,"Fresh water","Not relevant","Not relevant","Not relevant",NA,"Point",2,"m",NA,"UKJENT",1,"No information/not reported","Total",1,"Not relevant",1,"Not relevant","UKJENT","Stressor","External","Concentration","Kobber","CAS_7440-50-8",NA,4.4,NA,NA,"µg/l",0.5,"µg/l",1,"NIVA","UNKNOWN","2025-02-26",NA,1985,4,"Spring",0.643452676486187,"Tunnsjoeen, Bustadholmsundet (A22)","Lake, pond, pool, reservoir",4,"Water column, pelagic zone",4,"NO","NR",64.6922100014562,13.2540400004599,"WGS 84","NR","NR","UNKNOWN","2025-02-26","Converted from UTM33N automatically by ConvertR"
"29",28172,"Vm_ANNE","Aquatic","Freshwater","164-44678",1987-08-26,"Fresh water","Not relevant","Not relevant","Not relevant",NA,"Point",0,"m",NA,"UKJENT",1,"No information/not reported","Total",1,"Not relevant",1,"Not relevant","UKJENT","Stressor","External","Concentration","Kobber","CAS_7440-50-8",NA,3.6,NA,NA,"µg/l",0.5,"µg/l",1,"NIVA","UNKNOWN","2025-02-26",NA,1987,8,"Summer",0.556302500767287,"Sjoenstaaelva ved Aagifjell","River, stream, canal",3,"Water column, pelagic zone",4,"NO","NR",67.1942239987495,15.6964035841679,"WGS 84","NR","NR","UNKNOWN","2025-02-26","Converted from UTM33N automatically by ConvertR"
"30",114198,"Vm_ANNE","Aquatic","Marine/Salt Water","02.61-112755",2023-09-08,"Salt water","Not relevant","Not relevant","Not relevant","Metode: DS/EN ISO 17294m:2016","Point",0,"m","Metode: DS/EN ISO 17294m:2016","NS-ISO 5667-9A",1,"441-2023-0908-019","Total",1,"Not relevant",1,"Not relevant","UKJENT","Stressor","External","Concentration","Kobber","CAS_7440-50-8","<",0.5,NA,NA,"µg/l",NA,"µg/l",1,"COWI AS","UNKNOWN","2025-02-26","LOD/LOQ Missing",2023,9,"Fall",-0.301029995663981,"Soerfjorden, Langhelleneset","Coastal, fjord",6,"Water column, pelagic zone",4,"NO","NR",60.4543710005203,5.70865905132267,"WGS 84","NR","NR","UNKNOWN","2025-02-26","Converted from UTM33N automatically by ConvertR"
"31",24049,"Vm_ANNE","Aquatic","Freshwater","121-44587",1990-07-11,"Fresh water","Not relevant","Not relevant","Not relevant",NA,"Point",NA,"m",NA,"UKJENT",1,"No information/not reported","Total",1,"Not relevant",1,"Not relevant","UKJENT","Stressor","External","Concentration","Kobber","CAS_7440-50-8",NA,460,NA,NA,"µg/l",NA,"µg/l",1,"NIVA","UNKNOWN","2025-02-26","LOD/LOQ Missing",1990,7,"Summer",2.66275783168157,"Skaraaa (Raubekken) ved inntak kraftverk","River, stream, canal",3,"Water column, pelagic zone",4,"NO","NR",63.1379700013951,9.71108000083206,"WGS 84","NR","NR","UNKNOWN","2025-02-26","Converted from UTM33N automatically by ConvertR"
"32",97508,"Vm_ANNE","Aquatic","Marine/Salt Water","02.01-101035",2021-02-04,"Sediment","Not relevant","Not relevant","Not relevant","Not relevant","Point",0.5,"m","Not relevant","NS-EN ISO 5667-19B",1,"1","Total",1,"Not relevant",1,"Not relevant","NS-EN ISO 11885","Stressor","External","Concentration","Kobber","CAS_7440-50-8",NA,193,"mg/kg dw",NA,"mg/kg t.v.",NA,"mg/kg t.v.",1,"Rådgivende Biologer AS","UNKNOWN","2025-02-26","LOD/LOQ Missing",2021,2,"Winter",2.28555730900777,"Pinnen","Coastal, fjord",6,"Water column, pelagic zone",4,"NO","NR",58.2182701677424,6.68869930129726,"WGS 84","NR","NR","UNKNOWN","2025-02-26","Converted from UTM33N automatically by ConvertR"
"33",87892,"Vm_ANNE","Aquatic","Marine/Salt Water","03.03-94311",2003-04-01,"Sediment","Not relevant","Not relevant","Not relevant",NA,"Point",NA,"m",NA,"UKJENT",1,"AF2","Total",1,"Not relevant",1,"Not relevant","UKJENT","Stressor","External","Concentration","Kobber","CAS_7440-50-8",NA,1840,"mg/kg dw",NA,"mg/kg t.v.",NA,"mg/kg t.v.",1,"NIVA","UNKNOWN","2025-02-26","LOD/LOQ Missing",2003,4,"Spring",3.26481782300954,"Sunndalsfjorden - Raudsand (st. AF2)","Coastal, fjord",6,"Water column, pelagic zone",4,"NO","NR",62.8378235821835,8.12900717991313,"WGS 84","NR","NR","UNKNOWN","2025-02-26","Converted from UTM33N automatically by ConvertR"
